price,type,postalcode,city,url,floorsize,bedrooms,bathrooms,seller
"$929,900",Condo for sale,92101,San Diego,https://www.zillow.com/homedetails/877-Island-Ave-UNIT-801-San-Diego-CA-92101/60248909_zpid/,"1,539",2 bds,2 ba,"<div class=""list-card-truncate"">Big Block Realty, Inc.</div>"
"$1,749,000",House for sale,92128,San Diego,https://www.zillow.com/homedetails/18770-Polvera-Dr-San-Diego-CA-92128/16735177_zpid/,"5,257",6 bds,6 ba,"<div class=""list-card-truncate"">Premier Agent Network</div>"
"$899,900",Condo for sale,92109,San Diego,https://www.zillow.com/homedetails/4767-Ocean-Blvd-San-Diego-CA-92109/16909276_zpid/,802,1 bd,1 ba,"<div class=""list-card-truncate"">Coldwell Banker Realty</div>"
"$499,000",Condo for sale,92104,San Diego,https://www.zillow.com/homedetails/4081-Kansas-St-UNIT-8-San-Diego-CA-92104/16957301_zpid/,748,2 bds,2 ba,"<div class=""list-card-truncate"">Compass</div>"
"$749,000",House for sale,92111,San Diego,https://www.zillow.com/homedetails/6738-Salizar-St-San-Diego-CA-92111/16915358_zpid/,"1,590",4 bds,2 ba,"<div class=""list-card-truncate"">Tobin Assoc. And Realtors, Inc</div>"
"$1,325,000",House for sale,92130,San Diego,https://www.zillow.com/homedetails/4615-Vereda-Luz-Del-Sol-San-Diego-CA-92130/52511750_zpid/,"2,683",4 bds,3 ba,"<div class=""list-card-truncate"">Compass</div>"
"$419,000",Condo for sale,92101,San Diego,https://www.zillow.com/homedetails/988-G-St-UNIT-27-San-Diego-CA-92101/67712779_zpid/,650,1 bd,1 ba,"<div class=""list-card-truncate"">Century 21 Award</div>"
"$325,000",Condo for sale,92120,San Diego,https://www.zillow.com/homedetails/5432-Adobe-Falls-Rd-UNIT-12-San-Diego-CA-92120/16988494_zpid/,884,2 bds,2 ba,"<div class=""list-card-truncate"">Active Realty</div>"
"$675,000",House for sale,92115,San Diego,https://www.zillow.com/homedetails/5707-Spartan-Dr-San-Diego-CA-92115/17005377_zpid/,"1,166",3 bds,1 ba,"<div class=""list-card-truncate"">Keller Williams Realty</div>"
"$585,000",Condo for sale,92101,San Diego,https://www.zillow.com/homedetails/350-K-St-UNIT-417-San-Diego-CA-92101/54907207_zpid/,933,2 bds,2 ba,"<div class=""list-card-truncate"">Coldwell Banker West</div>"
